county,county_num,radon,first_floor
Blue Earth,1,5,0
Blue Earth,1,13,0
Blue Earth,1,7.2,0
Blue Earth,1,6.8,0
Blue Earth,1,12.8,0
Blue Earth,1,5.8,1
Blue Earth,1,9.5,0
Blue Earth,1,6,0
Blue Earth,1,3.8,0
Blue Earth,1,14.3,1
Blue Earth,1,1.8,0
Blue Earth,1,6.9,0
Blue Earth,1,4.7,0
Blue Earth,1,9.5,0
Clay,2,0.9,1
Clay,2,12.9,0
Clay,2,2.6,0
Clay,2,3.5,1
Clay,2,26.6,0
Clay,2,1.5,0
Clay,2,13,0
Clay,2,8.8,0
Clay,2,19.5,0
Clay,2,2.5,1
Clay,2,9,0
Clay,2,13.1,0
Clay,2,3.6,0
Clay,2,6.9,1
Goodhue,3,14.3,0
Goodhue,3,6.9,1
Goodhue,3,7.6,0
Goodhue,3,9.8,1
Goodhue,3,2.6,0
Goodhue,3,43.5,0
Goodhue,3,4.9,0
Goodhue,3,3.5,0
Goodhue,3,4.8,0
Goodhue,3,5.6,0
Goodhue,3,3.5,0
Goodhue,3,3.9,0
Goodhue,3,6.7,0
